년도,차종,용도,등록대수
2018,승용,자가용,17663188
2018,승용,영업용,980917
2018,승용,계,18676924
2018,승합,관용,22540
2018,승합,자가용,696898
2018,승합,영업용,124356
2018,승합,계,843794
2018,화물,관용,31957
2018,화물,자가용,3152275
2018,화물,영업용,406707
2018,화물,계,3590939
2018,특수,관용,2784
2018,특수,자가용,27212
2018,특수,영업용,60902
2018,특수,계,90898
2018,합계,관용,90100
2018,합계,자가용,21539573
2018,합계,영업용,1572882
2018,합계,계,23202555
2019,승용,관용,33344
2019,승용,자가용,18071723
2019,승용,영업용,1072450
2019,승용,계,19177517
2019,승합,관용,23014
2019,승합,자가용,663494
2019,승합,영업용,125291
2019,승합,계,811799
2019,화물,관용,33072
2019,화물,자가용,3143102
2019,화물,영업용,416412
2019,화물,계,3592586
2019,특수,관용,2867
2019,특수,자가용,30043
2019,특수,영업용,62554
2019,특수,계,95464
2019,합계,관용,92297
2019,합계,자가용,21908362
2019,합계,영업용,1676707
2019,합계,계,23677366
2020,승용,관용,33619
2020,승용,자가용,18686570
2020,승용,영업용,1140766
2020,승용,계,19860955
2020,승합,관용,23938
2020,승합,자가용,639504
2020,승합,영업용,120400
2020,승합,계,783842
2020,화물,관용,33391
2020,화물,자가용,3156602
2020,화물,영업용,425252
2020,화물,계,3615245
2020,특수,관용,3009
2020,특수,자가용,39010
2020,특수,영업용,63918
2020,특수,계,105937
2020,합계,관용,93957
2020,합계,자가용,22521686
2020,합계,영업용,1750336
2020,합계,계,24365979
2021,승용,관용,34548
2021,승용,자가용,19168262
2021,승용,영업용,1207838
2021,승용,계,20410648
2021,승합,관용,24460
2021,승합,자가용,608894
2021,승합,영업용,116614
2021,승합,계,749968
2021,화물,관용,33800
2021,화물,자가용,3159844
2021,화물,영업용,438331
2021,화물,계,3631975
2021,특수,관용,3141
2021,특수,자가용,49733
2021,특수,영업용,65636
2021,특수,계,118510
2021,합계,관용,95949
2021,합계,자가용,22986733
2021,합계,영업용,1828419
2021,합계,계,24911101
2022,승용,관용,35071
2022,승용,자가용,19647975
2022,승용,영업용,1269713
2022,승용,계,20952759
2022,승합,관용,24755
2022,승합,자가용,583625
2022,승합,영업용,115581
2022,승합,계,723961
2022,화물,관용,34587
2022,화물,자가용,3211121
2022,화물,영업용,450609
2022,화물,계,3696317
2022,특수,관용,3441
2022,특수,자가용,59623
2022,특수,영업용,66977
2022,특수,계,130041
2022,합계,관용,97854
2022,합계,자가용,23502344
2022,합계,영업용,1902880
2022,합계,계,25503078
2023,승용,관용,35481
2023,승용,자가용,20079294
2023,승용,영업용,1275427
2023,승용,계,21390202
2023,승합,관용,25009
2023,승합,자가용,555119
2023,승합,영업용,114446
2023,승합,계,694574
2023,화물,관용,35318
2023,화물,자가용,3225194
2023,화물,영업용,465888
2023,화물,계,3726400
2023,특수,관용,3702
2023,특수,자가용,66655
2023,특수,영업용,67668
2023,특수,계,138025
2023,합계,관용,99510
2023,합계,자가용,23926262
2023,합계,영업용,1923429
2023,합계,계,25949201
2024,승용,관용,36466
2024,승용,자가용,20425766
2024,승용,영업용,1308888
2024,승용,계,21771120
2024,승합,관용,24862
2024,승합,자가용,527105
2024,승합,영업용,114199
2024,승합,계,666166
2024,화물,관용,35531
2024,화물,자가용,3211951
2024,화물,영업용,469261
2024,화물,계,3716743
2024,특수,관용,3876
2024,특수,자가용,71804
2024,특수,영업용,68210
2024,특수,계,143890
2024,합계,관용,100735
2024,합계,자가용,24236626
2024,합계,영업용,1960558
2024,합계,계,26297919
2025,승용,관용,37360
2025,승용,자가용,20632170
2025,승용,영업용,1369073
2025,승용,계,22038603
2025,승합,관용,24299
2025,승합,자가용,495490
2025,승합,영업용,114035
2025,승합,계,633824
2025,화물,관용,35925
2025,화물,자가용,3187069
2025,화물,영업용,472238
2025,화물,계,3695232
2025,특수,관용,4069
2025,특수,자가용,74956
2025,특수,영업용,68189
2025,특수,계,147214
2025,합계,관용,101653
2025,합계,자가용,24389685
2025,합계,영업용,2023535
2025,합계,계,26514873
