Category_Name,Depth,Level1,Level2,Level3,Level4,서울,전남광주,부산,대구,인천,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,합계
승용일반형 외산 4500CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 4500CC미만,3098,880,1496,784,1424,322,187,75,3832,315,358,504,390,517,1118,177,15477
승용일반형 외산 5000CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 5000CC미만,3740,889,949,782,768,315,199,53,4113,325,364,510,419,633,776,157,14992
승용일반형 외산 5000CC이상,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 5000CC이상,5257,928,1704,1269,1425,396,267,76,5460,397,513,688,539,676,1757,315,21667
승용일반형 외산 저속전기,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 저속전기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
승용일반형 외산 전기,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 전기,23308,5932,14104,7088,15796,3579,1665,1518,40458,3137,3265,4352,2802,4027,10151,3658,144840
승용겸 화물 계,2,승용차합계,승용겸 화물 계,,,12937,13447,4996,4223,9688,3044,1754,577,24798,3266,3199,4514,2796,4338,6660,9317,109554
승용겸 화물 1500CC미만,4,승용차합계,승용겸 화물 계,,승용겸 화물 1500CC미만,12322,12861,4693,3975,8564,2879,1671,565,23656,3041,2953,4257,2541,4001,6257,7580,101816
승용겸 화물 2000CC미만,4,승용차합계,승용겸 화물 계,,승용겸 화물 2000CC미만,7,7,5,2,0,1,0,1,14,0,1,3,3,3,4,0,51
승용겸 화물 2500CC미만,4,승용차합계,승용겸 화물 계,,승용겸 화물 2500CC미만,342,279,109,123,127,72,39,4,696,127,151,161,148,203,136,83,2800
승용겸 화물 3000CC미만,4,승용차합계,승용겸 화물 계,,승용겸 화물 3000CC미만,27,29,22,8,9,10,2,0,35,13,9,15,18,24,18,3,242
승용겸 화물 3500CC미만,4,승용차합계,승용겸 화물 계,,승용겸 화물 3500CC미만,6,6,3,3,2,1,0,0,4,3,3,1,2,2,3,2,41
승용겸 화물 3500CC이상,4,승용차합계,승용겸 화물 계,,승용겸 화물 3500CC이상,71,33,20,39,17,16,6,0,108,37,19,22,14,17,17,16,452
승용겸 화물 저속전기,4,승용차합계,승용겸 화물 계,,승용겸 화물 저속전기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
승용겸 화물 전기,4,승용차합계,승용겸 화물 계,,승용겸 화물 전기,162,232,144,73,969,65,36,7,285,45,63,55,70,88,225,1633,4152
승용다목적형 계,2,승용차합계,승용다목적형 계,,,865857,537264,452436,330575,520904,196427,185023,59133,1896480,239113,250582,331563,258802,372176,542526,236933,7275794
승용다목적형 1500CC미만,4,승용차합계,승용다목적형 계,,승용다목적형 1500CC미만,23912,10524,11345,6427,19419,5701,3345,2007,62590,6452,7215,9642,6181,8012,15342,3825,201939
승용다목적형 2000CC미만,4,승용차합계,승용다목적형 계,,승용다목적형 2000CC미만,475550,331897,246215,188339,279870,119106,111365,35135,1114545,144495,150304,199199,161010,226537,323046,119455,4226068
승용다목적형 2500CC미만,4,승용차합계,승용다목적형 계,,승용다목적형 2500CC미만,166267,99776,79149,63507,92655,34363,41634,10515,356328,46198,45301,63600,48051,72552,95330,52924,1368150
승용다목적형 3000CC미만,4,승용차합계,승용다목적형 계,,승용다목적형 3000CC미만,83216,36859,47267,29671,47597,12546,10629,3339,134993,16657,16739,22761,17438,27043,39756,14931,561442
승용다목적형 3500CC미만,4,승용차합계,승용다목적형 계,,승용다목적형 3500CC미만,14967,4438,4380,3821,5677,1724,1526,455,20889,1932,1860,2779,1719,2696,3971,3654,76488
승용다목적형 3500CC이상,4,승용차합계,승용다목적형 계,,승용다목적형 3500CC이상,30972,9740,16046,8295,16061,4422,4242,1597,54026,5484,6053,8015,4887,7447,13650,5094,196031
승용다목적형 저속전기,4,승용차합계,승용다목적형 계,,승용다목적형 저속전기,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,7
승용다목적형 전기,4,승용차합계,승용다목적형 계,,승용다목적형 전기,70971,44030,48034,30515,59625,18565,12282,6085,153106,17893,23110,25567,19516,27889,51431,37050,645669
승용기타형 계,2,승용차합계,승용기타형 계,,,198766,150191,97348,71918,138211,53596,31489,15109,509876,60592,66420,93650,64936,88259,130601,64176,1835138
승용기타형 1500CC미만,4,승용차합계,승용기타형 계,,승용기타형 1500CC미만,24094,21036,12793,9369,19602,7956,4681,2039,75860,10385,10289,14519,9710,12612,18209,5109,258263
승용기타형 2000CC미만,4,승용차합계,승용기타형 계,,승용기타형 2000CC미만,79651,65364,40767,31754,59241,22842,13993,6941,216601,27339,28131,38425,27667,38079,58144,28587,783526
승용기타형 2500CC미만,4,승용차합계,승용기타형 계,,승용기타형 2500CC미만,63222,47996,30233,22435,41188,16824,9391,4509,161507,16982,21128,30841,21083,28470,38316,17791,571916
승용기타형 3000CC미만,4,승용차합계,승용기타형 계,,승용기타형 3000CC미만,2543,766,715,548,857,417,228,57,3467,300,387,582,436,720,762,193,12978
승용기타형 3500CC미만,4,승용차합계,승용기타형 계,,승용기타형 3500CC미만,23465,10355,9851,5248,12535,3851,2438,1139,41465,3782,4688,6711,3964,5998,12067,8374,155931
승용기타형 3500CC이상,4,승용차합계,승용기타형 계,,승용기타형 3500CC이상,345,116,57,45,91,59,24,18,544,53,59,90,72,86,73,37,1769
승용기타형 저속전기,4,승용차합계,승용기타형 계,,승용기타형 저속전기,47,35,11,23,32,26,7,5,134,29,39,36,4,24,26,33,511
승용기타형 전기,4,승용차합계,승용기타형 계,,승용기타형 전기,5399,4523,2921,2496,4665,1621,727,401,10298,1722,1699,2446,2000,2270,3004,4052,50244
승합차 합계,1,승합차 합계,,,,77568,48574,32939,24388,35531,15142,11914,3651,159720,22626,24310,33868,26176,40048,42283,16144,614882
승합일반형 계,2,승합차 합계,승합일반형 계,,,73082,45496,31338,22549,33714,13916,11143,3238,150975,20867,22647,31505,24539,37267,39552,15558,577386
시내버스,3,승합차 합계,승합일반형 계,시내버스,,10519,5986,3736,1888,2866,1133,1030,496,4265,961,1343,1585,1322,1822,2449,1443,42844
시외버스,3,승합차 합계,승합일반형 계,시외버스,,0,33,0,0,0,0,0,0,18594,480,415,715,466,615,1191,562,23071
전세버스,3,승합차 합계,승합일반형 계,전세버스,,2789,1937,1870,1567,3621,767,897,132,9284,1214,1960,2891,1941,2539,2794,1939,38142
고속버스,3,승합차 합계,승합일반형 계,고속버스,,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9,1,15
농어촌버스,3,승합차 합계,승합일반형 계,농어촌버스,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마을버스,3,승합차 합계,승합일반형 계,마을버스,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
승합일반기타형 계,3,승합차 합계,승합일반형 계,승합일반기타형 계,,59774,37540,25732,19094,27227,12016,9216,2610,118828,18212,18928,26314,20810,32291,33109,11613,473314
승합일반 15인 이하,4,승합차 합계,승합일반형 계,승합일반기타형 계,승합일반 15인 이하,55286,34084,23536,17067,25142,10857,8137,2362,108296,16117,17025,23408,18849,28428,29377,10829,428800
승합일반 25인 이하,4,승합차 합계,승합일반형 계,승합일반기타형 계,승합일반 25인 이하,1598,1436,683,681,747,481,438,96,3736,772,753,1060,817,1370,1262,310,16240
승합일반 35인 이하,4,승합차 합계,승합일반형 계,승합일반기타형 계,승합일반 35인 이하,1085,932,442,410,491,256,223,58,2355,626,436,700,510,847,849,241,10461
승합일반 50인 이하,4,승합차 합계,승합일반형 계,승합일반기타형 계,승합일반 50인 이하,1744,1069,1040,877,801,415,403,92,4213,680,696,1127,620,1526,1563,228,17094
승합일반 51인 이상,4,승합차 합계,승합일반형 계,승합일반기타형 계,승합일반 51인 이상,61,19,31,59,46,7,15,2,228,17,18,19,14,120,58,5,719
승합특수형 계,2,승합차 합계,승합특수형 계,,,4486,3078,1601,1839,1817,1226,771,413,8745,1759,1663,2363,1637,2781,2731,586,37496
구급차,3,승합차 합계,승합특수형 계,구급차,,964,645,410,315,274,185,123,28,1180,348,279,386,331,446,572,82,6568
장의차,3,승합차 합계,승합특수형 계,장의차,,21,15,8,15,7,10,0,0,43,12,19,18,14,19,8,8,217
"헌혈, 채혈차",3,승합차 합계,승합특수형 계,"헌혈, 채혈차",,3,2,0,2,1,2,0,0,3,1,1,0,1,1,0,1,18
"방송, 보도용차",3,승합차 합계,승합특수형 계,"방송, 보도용차",,15,5,2,1,0,1,2,2,14,1,1,1,1,3,3,0,52
승합피견인형,3,승합차 합계,승합특수형 계,승합피견인형,,1093,1122,384,743,612,506,258,252,3943,724,720,1134,630,1295,942,160,14518
승합특수형 기타,3,승합차 합계,승합특수형 계,승합특수형 기타,,2390,1289,797,763,923,522,388,131,3562,673,643,824,660,1017,1206,335,16123
화물자동차 합계,1,화물자동차 합계,,,,293240,350364,180856,156935,200196,84320,73774,16943,850620,164472,166637,237571,194233,325577,299185,92981,3687904
화물일반형 계,2,화물자동차 합계,화물일반형 계,,,183708,263380,118739,104826,126845,55405,51276,11841,575975,121607,122689,179109,147500,247747,224753,66283,2601683
화물 픽업형,3,화물자동차 합계,화물일반형 계,화물 픽업형,,23277,32922,13619,14633,19793,9823,6334,2369,88803,25972,21811,29368,21948,31196,29617,9864,381349
화물카고형 계,3,화물자동차 합계,화물일반형 계,화물카고형 계,,160431,230458,105120,90193,107052,45582,44942,9472,487172,95635,100878,149741,125552,216551,195136,56419,2220334
화물카고형 1톤 이하,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 1톤 이하,126573,189677,80895,71714,85131,35700,36104,7441,368765,81662,83237,122559,102636,184308,158966,50243,1785611
화물카고형 3톤 이하,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 3톤 이하,16091,11308,8540,6768,9195,2795,2018,613,46099,4712,4851,7458,6548,9757,12058,2452,151263
화물카고형 5톤 미만,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 5톤 미만,8225,10978,5871,5391,5540,2628,1817,521,37389,4199,5587,8203,6196,9335,9763,1526,123169
화물카고형 8톤 미만,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 8톤 미만,4079,7695,3573,2659,2228,1579,1701,509,16099,2728,3422,5493,4289,6219,6844,920,70037
화물카고형 10톤 미만,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 10톤 미만,1957,2995,1251,986,985,847,521,112,7103,626,1257,1893,1496,1634,1985,663,26311
화물카고형 12톤 미만,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 12톤 미만,646,711,534,228,335,202,192,25,1616,168,245,371,451,464,545,61,6794
화물카고형 12톤 이상,4,화물자동차 합계,화물일반형 계,화물카고형 계,화물카고형 12톤 이상,2860,7094,4456,2447,3638,1831,2589,251,10101,1540,2279,3764,3936,4834,4975,554,57149
화물덤프형 계,2,화물자동차 합계,화물덤프형 계,,,1606,5690,896,1144,903,594,1019,311,5435,4318,3713,4909,3843,9346,6337,1568,51632
화물덤프형 1톤 이하,4,화물자동차 합계,화물덤프형 계,,화물덤프형 1톤 이하,396,3588,457,475,304,280,781,199,2427,3126,2652,3226,2413,6184,4617,937,32062
화물덤프형 5톤 미만,4,화물자동차 합계,화물덤프형 계,,화물덤프형 5톤 미만,867,1402,277,526,486,233,169,44,1837,749,648,847,923,2202,1213,311,12734
화물덤프형 12톤 미만,4,화물자동차 합계,화물덤프형 계,,화물덤프형 12톤 미만,333,669,147,132,103,76,61,67,1143,434,386,817,484,921,491,314,6578
화물덤프형 12톤 이상,4,화물자동차 합계,화물덤프형 계,,화물덤프형 12톤 이상,10,31,15,11,10,5,8,1,28,9,27,19,23,39,16,6,258
화물 밴형 계,2,화물자동차 합계,화물 밴형 계,,,46665,21742,18849,19518,25877,10220,6629,1289,87471,10875,11236,13282,12115,19982,21535,12783,340068
