Category_Name,Depth,Level1,Level2,승용,승합,화물,특수,총계
인제군,2,강원,인제군,15084,515,5252,141,20992
정선군,2,강원,정선군,16205,669,6530,197,23601
철원군,2,강원,철원군,17707,700,7280,142,25829
춘천시,2,강원,춘천시,126364,3701,21288,1000,152353
태백시,2,강원,태백시,16483,719,3551,188,20941
평창군,2,강원,평창군,18289,822,8890,181,28182
홍천군,2,강원,홍천군,29165,1428,12312,277,43182
화천군,2,강원,화천군,10473,351,3456,94,14374
횡성군,2,강원,횡성군,20576,927,9102,213,30818
강원,1,강원,,690588,22626,164472,5864,883550
고창군,2,전북,고창군,21082,1361,11179,208,33830
군산시,2,전북,군산시,121406,3287,22715,1294,148702
김제시,2,전북,김제시,37179,1607,15235,458,54479
남원시,2,전북,남원시,30616,1318,13018,299,45251
무주군,2,전북,무주군,9819,526,4850,100,15295
부안군,2,전북,부안군,19691,907,9162,193,29953
순창군,2,전북,순창군,11756,444,5558,82,17840
완주군,2,전북,완주군,49556,1980,15116,529,67181
익산시,2,전북,익산시,119937,4090,27385,954,152366
임실군,2,전북,임실군,10298,505,5348,100,16251
장수군,2,전북,장수군,8719,368,4733,87,13907
전주시 덕진구,2,전북,전주시 덕진구,151735,4044,21447,1026,178252
전주시 완산구,2,전북,전주시 완산구,138057,3456,17211,669,159393
정읍시,2,전북,정읍시,43401,1751,15982,417,61551
진안군,2,전북,진안군,10602,532,5294,102,16530
전북,1,전북,,783854,26176,194233,6518,1010781
총계,0,,,22235086,614882,3687904,149412,26687284
